АТС;Линейно-технический цех ОАО Ростелеком;;60 лет ВЛКСМ, 3;;;83467732477;;;;;;;;;;;;;;;;;;;;;;;
АТС;ОАО Связьтранснефть, Кондинский цех связи филиала;;Нефтепроводная, 12;8(34677)34-938;;8(34677)32-428;;;;;;;;;;;;;;;;;;;;;;;
Абразивный инструмент;Водолей, Магазин хозтоваров;;Космонавтов, 72;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Абразивный инструмент;Красивый дом, Магазин строительных материалов;;Весенняя, 23;89221381944;;89527004649;;;;;;;;;;;;;;;;;;;;;;;
Абразивный инструмент;Магазин СТРОЙmax;;Титова, 26;;;83467733414;;;;;;;;;;;;;;;;;;;;;;;
Абразивный инструмент;МиниВиК, Магазин стройматериалов;;Кондинская, 12;;;89088963616;;;;;;;;;;;;;;;;;;;;3;;;
Абразивный инструмент;Ника Строй 2, Магазин стройматериалов;;Ленина, 18 - А;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Абразивный инструмент;Ника Строй, Магазин стройматериалов;;Кедровая, 7 - А;;;83467733790;;;;;;;;;;;;;;;;;;;;;;;
Абразивный инструмент;Руслан, Магазин стройматериалов;;Сибирская, 124;8(34677)41-206;;89224444925;;;;;;;;;;;;;;;;;;;;;;;
Абразивный инструмент;Фортуна, Магазин стройматериалов;;Титова, 32;;;83467732061;;;;;;;;;;;;;;;;;;;;;;;
Авиа | железнодорожные | авто билеты | продажа;Билетная касса, (Тавда - Тюмень) автобус;;Железнодорожная (Здание вокзала);;;89125154067;;;;;;;;;;;;;;;;;;;;;;;
Авиа | железнодорожные | авто билеты | продажа;Транспортное агенство;;Титова, 14;8(34677)34-130;;8(34677)32-758;;;;;;;;;;;;;;;;;;;;;;;
Авиа | железнодорожные | авто билеты | продажа;ЗАО Конда Авиа, Аэропорт;;Осенняя, 2 - А;;;83467733223;;;;;;;;;;;;;;;;;;;;;;;
Авиатранспортные услуги | авиабилеты;Транспортное агенство;;Титова, 14;8(34677)34-130;;8(34677)32-758;;;;;;;;;;;;;;;;;;;;;;;
Авиатранспортные услуги | авиабилеты;ЗАО Конда Авиа, Аэропорт;;Осенняя, 2;;;83467733223;;;;;;;;;;;;;;;;;;;;;;;
Автобусы на заказ;Автоконд, ОАО Урайское АТП;Автотранспортное предприятие;Сибирская, 121;8(34677)33-463;;8(34677)41-409;;8(34677)41-371;;;;;;;;;;;;;;;;;;;;;;;
Автозаправочные станции;АЗС ИП Коновалова Н.В;Автозаправочная станция;Промышленная, 2;;;83467741398;;;;;;;;;;;;;;;;;;;;;;;
Автозаправочные станции;АЗС ИП Сомина О.В.;Автозаправочная станция;Осенняя, 2 - Б;;;83467741488;;;;;;;;;;;;;;;;;;;;;;;
Автозаправочные станции;АЗС ИП Хлопов А.В.;Автозаправочная станция;Железнодорожная, 1 - Б;;;83467742414;;;;;;;;;;;;;;;;;;;;;;;
Автозвук;Автозапчасти;Магазин автозапчастей;Сибирская, 47;;;89003882834;;;;;;;;;;;;;;;;;;;;100;;https://dl.dropboxusercontent.com/s/665ejhswg3pyls0/%D0%9F%D0%9F%20-%20mid.jpg?dl=0;
Автозвук;СТАРТ, Автомагазин;;Кедровая, 6;8(34677)32-412;;89044650360;;;;;;;;;;;;;;;;;;;;;;;
Автозвук;Орбита, Автомагазин;;Первомайская, 20;;;83467732234;;;;;;;;;;;;;;;;;;;;;;;
Автозвук;PARTS66.RU;Автомагазин;Титова 34 (Эльдорадо 2 этаж);89024917424;;;;;;;;;;;;;;;;;;;;;;;
Автозвук;Гарант, Автомагазин;;Днепропетровская, 1 - А;;;83467734912;;;;;;;;;;;;;;;;;;;;;;;
